Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm)
R49,12.4k 1%,TopLayer,R0402_L,45.5168mm,71.5772mm,135,贴片电阻,45.5168mm,71.5772mm,45.8173mm,71.2767mm
R48,4.7K 1%,TopLayer,R0402_L,53.0860mm,60.1726mm,135,贴片电阻,53.0860mm,60.1726mm,53.3865mm,59.8721mm
R47,20K 1%,BottomLayer,R0402_L,59.2328mm,64.7700mm,90,贴片电阻,59.2328mm,64.7700mm,59.2328mm,64.3450mm
R46,20K 1%,BottomLayer,R0402_L,58.1152mm,64.7700mm,90,贴片电阻,58.1152mm,64.7700mm,58.1152mm,64.3450mm
R45,10K 1%,BottomLayer,R0402_L,59.3090mm,73.5648mm,90,贴片电阻,59.3090mm,73.5648mm,59.3090mm,73.1398mm
R44,4.7K 1%,TopLayer,R0402_L,51.7398mm,59.6900mm,0,贴片电阻,51.7398mm,59.6900mm,51.3148mm,59.6900mm
R43,4.7K 1%,TopLayer,R0402_L,49.8162mm,59.6900mm,180,贴片电阻,49.8162mm,59.6900mm,50.2412mm,59.6900mm
R42,4.7K 1%,TopLayer,R0402_L,43.8447mm,64.5203mm,225,贴片电阻,43.8447mm,64.5203mm,44.1452mm,64.8208mm
R41,4.7K 1%,TopLayer,R0402_L,44.6067mm,63.7583mm,225,贴片电阻,44.6067mm,63.7583mm,44.9072mm,64.0588mm
R40,4.7K 1%,TopLayer,R0402_L,46.8927mm,61.4723mm,225,贴片电阻,46.8927mm,61.4723mm,47.1932mm,61.7728mm
R39,10K 1%,BottomLayer,R0402_L,58.2168mm,73.5584mm,270,贴片电阻,58.2168mm,73.5584mm,58.2168mm,73.9834mm
R38,10K 1%,BottomLayer,R0402_L,57.1246mm,73.5584mm,270,贴片电阻,57.1246mm,73.5584mm,57.1246mm,73.9834mm
R37,12K 1%,BottomLayer,R0402_L,78.6892mm,47.9403mm,90,贴片电阻,78.6892mm,47.9403mm,78.6892mm,47.5153mm
R36,100K 1%,BottomLayer,R0402_L,81.2292mm,58.8232mm,270,贴片电阻,81.2292mm,58.8232mm,81.2292mm,59.2482mm
R35,4.7K 1%,BottomLayer,R0402_L,76.9438mm,50.0380mm,180,贴片电阻,76.9438mm,50.0380mm,77.3688mm,50.0380mm
R34,330K 1%,BottomLayer,R0402_L,76.9438mm,51.1048mm,180,贴片电阻,76.9438mm,51.1048mm,77.3688mm,51.1048mm
R33,12K 1%,BottomLayer,R0402_L,78.6892mm,28.6363mm,90,贴片电阻,78.6892mm,28.6363mm,78.6892mm,28.2113mm
R32,12K 1%,BottomLayer,R0402_L,78.6892mm,9.5609mm,90,贴片电阻,78.6892mm,9.5609mm,78.6892mm,9.1359mm
R31,100K 1%,BottomLayer,R0402_L,81.2292mm,39.5192mm,270,贴片电阻,81.2292mm,39.5192mm,81.2292mm,39.9442mm
R30,100K 1%,BottomLayer,R0402_L,81.2292mm,20.4438mm,270,贴片电阻,81.2292mm,20.4438mm,81.2292mm,20.8688mm
R29,4.7K 1%,BottomLayer,R0402_L,76.9438mm,30.7340mm,180,贴片电阻,76.9438mm,30.7340mm,77.3688mm,30.7340mm
R28,4.7K 1%,BottomLayer,R0402_L,76.9438mm,11.6586mm,180,贴片电阻,76.9438mm,11.6586mm,77.3688mm,11.6586mm
R27,330K 1%,BottomLayer,R0402_L,76.9438mm,31.8008mm,180,贴片电阻,76.9438mm,31.8008mm,77.3688mm,31.8008mm
R26,330K 1%,BottomLayer,R0402_L,76.9438mm,12.7254mm,180,贴片电阻,76.9438mm,12.7254mm,77.3688mm,12.7254mm
R25,4.7K 1%,BottomLayer,R0402_L,1.1176mm,65.5252mm,270,贴片电阻,1.1176mm,65.5252mm,1.1176mm,65.9502mm
R24,4.7K 1%,BottomLayer,R0402_L,1.1176mm,73.3044mm,90,贴片电阻,1.1176mm,73.3044mm,1.1176mm,72.8794mm
R23,4.7K 1%,BottomLayer,R0402_L,1.1176mm,37.4650mm,270,贴片电阻,1.1176mm,37.4650mm,1.1176mm,37.8900mm
R22,4.7K 1%,BottomLayer,R0402_L,1.1176mm,45.2374mm,90,贴片电阻,1.1176mm,45.2374mm,1.1176mm,44.8124mm
R21,4.7K 1%,BottomLayer,R0402_L,1.1176mm,9.3218mm,270,贴片电阻,1.1176mm,9.3218mm,1.1176mm,9.7468mm
R20,4.7K 1%,BottomLayer,R0402_L,1.1176mm,17.0942mm,90,贴片电阻,1.1176mm,17.0942mm,1.1176mm,16.6692mm
R12,13.7K 1%,TopLayer,R0402_L,1.8796mm,7.0680mm,270,贴片电阻,1.8796mm,7.0680mm,1.8796mm,7.4930mm
R11,10K 1%,TopLayer,R0402_L,8.3566mm,61.0108mm,270,贴片电阻,8.3566mm,61.0108mm,8.3566mm,61.4358mm
R10,100K 1%,TopLayer,R0402_L,2.9464mm,7.0744mm,90,贴片电阻,2.9464mm,7.0744mm,2.9464mm,6.6494mm
R9,13.7K 1%,TopLayer,R0402_L,1.8796mm,24.9750mm,270,贴片电阻,1.8796mm,24.9750mm,1.8796mm,25.4000mm
R7,22.1K 1%,TopLayer,R0402_L,34.2392mm,64.5346mm,90,贴片电阻,34.2392mm,64.5346mm,34.2392mm,64.1096mm
R6,100K 1%,TopLayer,R0402_L,2.9464mm,24.9814mm,90,贴片电阻,2.9464mm,24.9814mm,2.9464mm,24.5564mm
